Itération,Ford-Fulkerson,Push-Relabel,Flot Min
1,0.0007209000177681446,0.5319948999967892,3.8416605000093114
2,0.00024560000747442245,0.5258270000049379,3.8111769999959506
3,0.00024679998750798404,0.48756589999538846,3.8330252000014298
4,0.00022869999520480633,0.4838150000141468,3.8511601999925915
5,0.00022410001838579774,0.49553640000522137,3.8471102000039537
6,0.00022200000239536166,0.4897863999940455,3.796051300014369
7,0.00021910000941716135,0.48861820000456646,3.797317099990323
8,0.00022259997786022723,0.49005109997233376,3.8500584000139497
9,0.00022220000391826034,0.48875479999696836,3.8088595000153873
10,0.0002235999854747206,0.5020021999953315,3.8103629000252113
11,0.00022330001229420304,0.48471769999014214,3.7896308000199497
12,0.000219000008655712,0.4911825000017416,3.8487243999843486
13,0.00024009999469853938,0.49560020002536476,3.849660200008657
14,0.00023100001271814108,0.5095091999974102,3.7903030999877956
15,0.00023490001331083477,0.4903370999963954,3.8118809000006877
16,0.0001838000025600195,0.4960428999911528,3.785338599991519
17,0.00023249999503605068,0.4879738000163343,3.834138800011715
18,0.00021910000941716135,0.48164600000018254,3.8004124999861233
19,0.0002203000185545534,0.4900560999813024,3.8203360000043176
20,0.00021050000214017928,0.48753829998895526,3.8265988000202924
21,0.0002224999770987779,0.48569090000819415,3.792358799983049
22,0.0002327999973203987,0.48855800001183525,3.8680503999930806
23,0.00018619999173097312,0.48832959998981096,3.9596088999824133
24,0.0002995000104419887,0.5563477000105195,3.8824526999960653
25,0.00025829998776316643,0.5028052999987267,4.003363199997693
26,0.00023239999427460134,0.4998059000063222,3.8981972000037786
27,0.0002820999943651259,0.48788949998561293,3.9000687999941874
28,0.0002606000052765012,0.49021729998639785,3.8750937999866437
29,0.0002583000168669969,0.4938671999843791,3.8895896000030916
30,0.00024120000307448208,0.55664969998179,3.9169811999890953
31,0.0002686000079847872,0.5037278999807313,3.8458180000016
32,0.00022230000467970967,0.48735760001000017,3.800500099983765
33,0.00022070002160035074,0.48854999998002313,3.858776300010504
34,0.00022189997253008187,0.4857176999794319,3.8291887000086717
35,0.00021699999342672527,0.4867225999769289,3.828032699995674
36,0.00022239997633732855,0.48941790001117624,3.8736164000001736
37,0.00021899997955188155,0.4928315000142902,3.863979699992342
38,0.00021999998716637492,0.4870068999880459,3.7237292999925558
39,0.00021850000484846532,0.48913820000598207,3.809849400015082
40,0.00022109999554231763,0.4833684000186622,3.8337284000008367
41,0.00021779999951831996,0.48354449999169447,3.772671500017168
42,0.0002198000147473067,0.49688990000868216,3.7662542999896687
43,0.0002206000208389014,0.48758049999014474,3.8030607999826316
44,0.00021849997574463487,0.4859340999973938,3.8273986999993213
45,0.00022000001627020538,0.4860078999772668,3.8599517999973614
46,0.0002212999970652163,0.48762749999877997,3.766781299986178
47,0.0002182000025641173,0.4958357999857981,3.8438681000261568
48,0.0002185999765060842,0.48828050002339296,3.798717300000135
49,0.000221800000872463,0.4835374999966007,3.7972736000083387
50,0.0002179000002797693,0.48896340001374483,3.7509310000168625
51,0.0002175999979954213,0.48527679999824613,3.8104298999824096
52,0.0002190999803133309,0.4924986000114586,3.812862299993867
53,0.00022080002236180007,0.49242530000628904,3.7736070999817457
